Full Word	Stemmed Word
sakit	sakit
sa	sa
kidney	kidney
at	at
iba	iba
pa.	pa.
Madalas	Madalas
naming	naming
maging	ing
panauhin	panau
si	si
DOH	DOH
Director	Director
Ivan	Ivan
Escartin	Escart
sa	sa
aming	aming
DZRH	DZRH
radio	radio
program	program
tuwing	tuwing
Sabado.	Sabado.
1.	1.
Ang	Ang
pinakamagandang	amagandang
blood	blood
pressure	pressure
ay	ay
120	120
over	over
80.	80.
Alamin	Alam
ang	ang
BP	BP
mo!	mo!
2.	2.
Isa	Isa
sa	sa
apat	apat
na	na
Pilipino	Pilipino
ay	ay
may	may
high	high
blood	blood
pressure.	pressure.
Kung	Kung
kayo	kayo
ay	ay
sobra	sobra
sa	sa
timbang,	timbang,
magbawas	bawas
ng	ng
10	10
pounds	pounds
para	para
bumaba	baba
rin	rin
ang	ang
iyong	ong
blood	blood
pressure	pressure
ng	ng
5	5
hanggang	hanggang
10	10
puntos.	puntos.
3.	3.
Kapag	Kapag
kayo	kayo
ay	ay
may	may
high	high
blood	blood
pressure,	pressure,
bawasan	bawas
ang	ang
alat	alat
sa	sa
pagkain.	kain.
Ito	Ito
ay	ay
mabisang	isang
solusyon	solusyon
para	para
bumaba	baba
ang	ang
presyon.	presyon.
4.	4.
Isa	Isa
sa	sa
10	10
Pilipino	Pilipino
ay	ay
may	may
mataas	aas
na	na
cholesterol.	cholesterol.
Kapag	Kapag
mataas	aas
ang	ang
iyong	ong
cholesterol,	cholesterol,
kumain	kuma
ng	ng
1	1
tasang	tasang
oatmeal	oatmeal
bawat	bawat
araw	araw
at	at
bababa	bababa
ang	ang
iyong	ong
cholesterol	cholesterol
ng	ng
20	20
hanggang	hanggang
30	30
puntos.	puntos.
5.	5.
Tandaan	Tanda
ang	ang
numerong	nerong
ito:	ito:
126	126
mg/dl.	mg/dl.
Kapag	Kapag
mas	mas
mataas	aas
dito	dito
ang	ang
iyong	ong
fasting	fasting
blood	blood
sugar,	sugar,
posibleng	posibleng
may	may
diabetes	diabetes
ka	ka
na.	na.
6.	6.
Kumain	Kuma
ng	ng
2	2
tasang	tasang
gulay	gulay
at	at
2	2
tasang	tasang
prutas	prutas
bawat	bawat
araw	araw
para	para
makamtan	amt
ninyo	ninyo
ang	ang
sapat	sapat
na	na
bitamina	bitamina
bawat	bawat
araw.	araw.
Ayon	Ayon
sa	sa
survey,	survey,
3	3
sa	sa
bawat	bawat
5	5
Pilipino	Pilipino
ay	ay
hindi	hindi
kumakain	kaka
ng	ng
sapat	sapat
na	na
gulay	gulay
at	at
prutas.	prutas.
7.	7.
Mahilig	Mahilig
ka	ka
ba	ba
sa	sa
taba?	taba?
Umiwas	Umiwas
sa	sa
taba	taba
ng	ng
baboy	baboy
at	at
baka.	baka.
Piliin	Pili
na	na
lang	lang
ang	ang
taba	taba
ng	ng
isda	isda
na	na
may	may
masustansyang	ustansyang
sangkap	sangkap
na	na
Omega-3	Omega-3
fatty	fatty
acids.	acids.
8.	8.
Habang	Habang
nakatayo	ayo
ay	ay
igalaw-galaw	alaw-galaw
ang	ang
iyong	ong
kamay	kamay
at	at
paa.	paa.
Sa	Sa
ganitong	ganitong
paraan,	aan,
makababawas	ababawas
kayo	kayo
ng	ng
150	150
calories	calories
bawat	bawat
araw.	araw.
9.	9.
Huwag	Huwag
sosobra	sosobra
sa	sa
pag-inom	inom
ng	ng
alak.	alak.
Ang	Ang
mga	mga
lalaki	lalaki
ay	ay
limitado	limitado
lang	lang
sa	sa
pag-inom	inom
ng	ng
2	2
bote	bote
ng	ng
beer,	beer,
2	2
copita	copita
ng	ng
wine,	wine,
o	o
2	2
shot	shot
ng	ng
hard	hard
drinks	drinks
bawat	bawat
araw.	araw.
Sa	Sa
babae	babae
naman	naman
ay	ay
1	1
bote	bote
ng	ng
beer,	beer,
1	1
copita	copita
ng	ng
wine,	wine,
o	o
1	1
shot	shot
ng	ng
hard	hard
drink	drink
lang	lang
bawat	bawat
araw.	araw.
10.	10.
Inumin	Inum
ang	ang
inyong	yong
maintenance	ntenance
na	na
gamot	gamot
para	para
humaba	haba
ang	ang
buhay.	buhay.
Tangkilikin	Tangkilik
ang	ang
generics	generics
na	na
gamot	gamot
para	para
makamura	amura
at	at
mainom	mainom
ang	ang
inyong	yong
gamot	gamot
araw-araw.	araw-araw.
Good	Good
luck	luck
po.	po.
Eleksyon	Eleksyon
na	na
naman	naman
at	at
kahit	kahit
na	na
ito	ito
ay	ay
gaganapin	gaganap
sa	sa
susunod	susunod
na	na
taon	taon
pa,	pa,
hayun	hayun
at	at
panay	panay
na	na
ang	ang
ikot	ikot
ng	ng
mga	mga
pulitiko,	pulitiko,
lalo	lalo
na	na
ang	ang
mga	mga
tatakbo	tatakbo
para	para
senador,	senador,
sa	sa
ibaÃ¢Â?Â?t	aÃ¢Â?Â?t
ibang	ang
bahagi	bahagi
ng	ng
Mindanao.	Mindanao.
Ã¢Â?Â?Hello,	Ã¢Â?Â?Hello,
Mindanao!Ã¢Â?Â?	Mindanao!Ã¢Â?Â?
nga	nga
uli	uli
ang	ang
drama	drama
ng	ng
mga	mga
pulitikong	pulitikong
ito	ito
na	na
karamihan	ami
sa	sa
kanila	ila
ay	ay
limot	limot
na	na
rin	rin
ang	ang
Mindanao	Mindanao
pagkatapos	katapos
ng	ng
eleksyon.	eleksyon.
At	At
sila	sila
ay	ay
muling	muling
nabubuhay	nabubuhay
tuwing	tuwing
panahon	ahon
na	na
naman	naman
ng	ng
pangangapanya	gangapanya
para	para
sa	sa
halalan.	halalan.
Para	Para
ngang	ngang
Pasko	Pasko
ng	ng
Muling	Muling
Pagkabuhay	Pagkabuhay
ng	ng
mga	mga
pulitiko	pulitiko
tuwing	tuwing
dadagsa	dadagsa
na	na
naman	naman
sila	sila
sa	sa
Mindanao	Mindanao
para	para
suyuin	suyu
ang	ang
mga	mga
botante	botante
na	na
sila	sila
ay	ay
papanalunin	analun
sa	sa
eleksyon.	eleksyon.
Ayan	Ayan
at	at
darating	darating
na	na
ang	ang
Mayo	Mayo
10,	10,
2013	2013
para	para
sa	sa
panibagong	ibagong
halalan,	halalan,
at	at
kahit	kahit
na	na
ilang	ang
buwan	buwan
pa	pa
ang	ang
hihintayin	hihintay
nandito	nandito
na	na
naman	naman
ang	ang
mga	mga
pulitiko	pulitiko
na	na
kung	kung
hindi	hindi
dadalo	dadalo
sa	sa
fiesta	fiesta
o	o
anniversary	anniversary
celebration	celebration
ng	ng
isang	ang
lugar	lugar
ay	ay
suyurin	suyur
naman	naman
ang	ang
lahat	lahat
ng	ng
graduation	graduation
o	o
kung	kung
ano-anong	ano-anong
school	school
ceremonies	ceremonies
dito	dito
sa	sa
Mindanao.	Mindanao.
Nagkukumahog	Nagkukumahog
din	din
ang	ang
mga	mga
pulitiko	pulitiko
sa	sa
panliligaw	liligaw
sa	sa
mga	mga
ibaÃ¢Â?Â?t	aÃ¢Â?Â?t
ibang	ang
organisasyon	organisasyon
na	na
gawin	gawin
silang	silang
speakers	speakers
tuwing	tuwing
may	may
mga	mga
national	national
o	o
regional	regional
conventions	conventions
na	na
gaganapin	gaganap
dito	dito
sa	sa
Mindanao.	Mindanao.
Napaka-plastic	Napaka-plastic
naman	naman
ng	ng
ating	ating
mga	mga
pulitiko.	pulitiko.
Pag	Pag
nangangampanya	nangangampanya
sila,	sila,
hayun,	hayun,
at	at
lahat	lahat
na	na
lang	lang
ng	ng
kung	kung
anong	anong
maipangako	pangako
ay	ay
sisilawin	sisilaw
ang	ang
mga	mga
taga-Mindanao.	Mindanao.
Ngunit	Ngunit
sa	sa
tinagal-tagal	l-tagal
ng	ng
panahon	ahon
nanatiling	nanatiling
ang	ang
Mindanao	Mindanao
ang	ang
may	may
pinakamababang	amababang
share	share
sa	sa
national	national
budget.	budget.
Lahat	Lahat
ay	ay
napunta	napunta
sa	sa
Luzon	Luzon
at	at
Visayas.	Visayas.
Mindanao	Mindanao
ang	ang
may	may
pinakamaraming	amaraming
mahihirap	ihirap
na	na
mga	mga
komunidad.	komunidad.
Nandito	Nandito
sa	sa
Mindanao	Mindanao
ang	ang
poorest	poorest
municipalities	municipalities
at	at
poorest	poorest
provinces	provinces
ng	ng
ating	ating
bansa.	bansa.
At	At
patuloy	uloy
pa	pa
ring	ring
naging	naging
napakahirap	irap
maabot	maabot
ang	ang
kapayapaan	ayapa
sa	sa
Mindanao	Mindanao
kung	kung
patuloy	uloy
na	na
hindi	hindi
makausad	ausad
ang	ang
ibang	ang
bahagi	bahagi
ng	ng
katimugan	imug
dahil	dahil
nga	nga
sa	sa
kaguluhang	uluhang
dulot	dulot
ng	ng
hindi	hindi
pagkaunawaan.	kaunawaan.
Ang	Ang
dami	dami
nang	nang
pangakong	gakong
napapako	napapako
para	para
sa	sa
Mindanao.	Mindanao.
Panahon	Panahon
na	na
naman	naman
ngayon	ngayon
ng	ng
mga	mga
pangako	gako
na	na
mahirap	irap
singilin	sgil
dahil	dahil
lahat	lahat
ay	ay
puro	puro
lip-service	lip-service
ng	ng
mga	mga
pulitiko.	pulitiko.
Ã¢Â?Â?Hello	Ã¢Â?Â?Hello
Mindanao!Ã¢Â?Â?	Mindanao!Ã¢Â?Â?
ngayon	ngayon
ang	ang
sinasambit	sasambit
ng	ng
mga	mga
pulitiko	pulitiko
ngunit	ngunit
pagkatapos	katapos
ng	ng
May	May
10,	10,
2013,	2013,
Ã¢Â?Â?Bye,	Ã¢Â?Â?Bye,
bye	bye
Mindanao!Ã¢Â?Â?	Mindanao!Ã¢Â?Â?
na	na
naman	naman
ang	ang
tugtog	tugtog
at	at
sayaw	sayaw
nila.	nila.
Mga	Mga
walanghiya!Ã¢Â?Â?	walanghiya!Ã¢Â?Â?
